Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type
1985-12-31,19:42:39,799,5.3,5.0,0.0,29.0500,34.9900,0,Saudi-Arabia,F
1985-12-31,17:04:10,611,5.3,5.1,0.0,29.5100,34.8600,15,Arava,F
1988-08-03,20:42:33,928,5.0,4.9,0.0,35.7041,35.7225,0,E.Mediter.Sea,EQ
1989-03-31,00:44:14,531,5.4,5.3,0.0,31.8781,37.4590,12,W.Sirhan,F
1993-08-03,12:43:08,373,5.8,5.6,0.0,28.4495,34.8221,13,Saudi-Arabia,F 
1993-08-03,16:33:22,423,5.6,5.4,0.0,28.7954,34.8241,4,Aragonese-Deep,F
1993-11-03,18:39:24,969,5.3,5.2,0.0,27.9840,34.8799,16,Red-Sea,F
1993-11-08,01:05:55,338,5.0,5.0,0.0,28.0431,34.8050,9,Red-Sea,EQ
1995-02-23,21:03:08,107,5.2,5.1,0.0,34.8310,32.6610,9,Cyprus,F
1995-11-22,04:15:11,968,6.4,6.0,7.2,28.7617,34.6885,14,Aragonese-Deep,F 
1995-11-22,11:37:15,390,5.0,4.9,0.0,28.8197,34.4612,8,Sinai,EQ
1995-11-22,12:47:03,776,5.4,5.2,0.0,28.4513,34.8283,5,Saudi-Arabia,F
1995-11-22,22:16:55,110,5.5,5.3,0.0,28.5338,34.7344,10,Arnona-Dakar-Deep,F
1995-11-23,18:07:11,447,5.4,5.2,0.0,28.7525,34.9438,5,Saudi-Arabia,F
1995-11-24,16:43:42,783,5.3,5.2,0.0,28.6669,34.9589,10,Saudi-Arabia,F
1995-12-11,01:32:03,472,5.4,5.2,0.0,28.5567,34.7933,11,Arnona-Dakar-Deep,F
1996-01-03,10:05:27,324,5.2,5.1,0.0,28.7006,34.7318,3,Aragonese-Deep,EQ
1996-02-21,04:59:53,912,5.3,5.2,0.0,28.8737,34.6673,16,Aragonese-Deep,F 
1996-02-26,07:17:09,875,5.6,5.4,0.0,28.8716,34.6300,17,Aragonese-Deep,F 
1996-10-09,13:10:54,467,6.1,5.8,5.4,34.4167,32.2964,33,E.Mediter.Sea,F
1996-10-21,06:00:52,737,5.3,5.2,0.0,34.3208,32.3142,32,Cyprus,EQ
1996-11-27,00:44:23,597,5.1,5.0,0.0,34.4359,32.1935,10,Cyprus,F
1996-12-20,07:21:21,843,5.3,5.2,0.0,27.7986,33.1474,25,Suez,EQ
1997-01-13,10:19:25,27,5.9,5.6,0.0,34.2701,32.4718,11,Cyprus,F 
1997-03-26,04:22:51,243,5.5,5.3,0.0,33.8643,35.3913,5,E.Mediter.Sea,F
1997-03-26,13:20:21,794,5.2,5.2,0.0,33.7031,35.5653,3,Roum,F
1997-05-10,23:01:43,81,5.3,5.1,0.0,27.9694,34.7165,3,Red-Sea,EQ
1999-05-25,17:15:26,207,5.3,5.2,0.0,34.4233,32.3843,10,Cyprus,F
1999-08-11,04:26:58,693,5.6,5.4,0.0,34.6743,33.0036,32,Cyprus,F
2004-02-11,08:15:02,912,5.2,5.1,0.0,31.7002,35.5461,18,Dead-Sea-Basin,F 
2006-02-02,09:49:41,679,5.0,5.0,0.0,27.2428,34.9038,5,Red-Sea,EQ
